book	id	star	time	likenum	body
天才在左 疯子在右	auntbear	allstar10	2013-07-29	1455	带着了解精神病群体的期待看这本书，前几篇还像回事儿，越往后就变成鬼故事和科幻小说了，严重的被愚弄感，读书评才知道这本书最初不过是天涯上鬼话栏目的帖子而已。打着采访手记的旗号，利用精神病患的噱头胡扯，编辑和作者都十分缺德！
天才在左 疯子在右	ankazen	allstar20	2012-06-29	674	这本书证明半吊子这种人最危险。
天才在左 疯子在右	eiris	allstar10	2014-05-17	309	这本书是作者看了量子物理简史、美剧、日漫之后的意淫，不严谨的瞎编乱造成分太重，写作水平过于随意（后来发现果然曾是网贴），当故事看是可以的，别当真事儿YY啊，被人揪辫子就拿“这个世界有很多不可解释的事情”或者“想象力才是关键”来当挡箭牌，你是中学生么？总而言之，推荐的人知识面都太磕碜了。
天才在左 疯子在右	wenzel	allstar20	2012-03-06	203	即使书中访谈的内容是真实的 大概也是读了冯内古特 看过致命id 扫过霍金 以及更多科幻科普书及悬疑电影之后疯掉的人的访谈 或许还包括伊藤润二的漫画 因为这本书中没有任何新的东西 文字也是知音体 猎奇性停留在最低等级 甚至连装帧 纸张 排版都尔尔 根本找不到任何可读点 作者在后记中已说有不少是编造 很多是真实案例 预估真实案例也是来自那些“根据真实事件”改编的电影 而编造的 则是那些虚构的国内外作品了 同是国内访谈类作品 毕淑敏和李银河的要好得多 相当失望 甚至连无聊时都不值得一读
天才在左 疯子在右	kirk1226	allstar30	2014-04-14	132	先不说是真是假，内容其实挺有意思，只是我很烦作者每一章节后的鸡汤感悟
天才在左 疯子在右	thelongestyard	allstar50	2011-10-01	174	从第一个访谈开始，用了两天的时间发疯版的读完，怎么说呢？意犹未尽。面对这些所谓的精神病患者，他们的思维逻辑严密到一环扣一环，从哲学到宗教、从传统物理学到量子力学，他们的关注与思辨令捧着书的正常人汗颜。我不停的在问自己，究竟是他们有病还只是因为我们想得太少、太过肤浅？究竟什么才算是正常人？就是群体的认可？那究竟什么才算是精神病患者？只是被多数人定义了的一小部分？
天才在左 疯子在右	MeloTheFisher	allstar30	2013-09-28	60	我对这本书的“访谈”这两个字感到极大的怀疑，无非就是编排得像那么回事儿而已
天才在左 疯子在右	bebop9	allstar10	2014-07-26	47	一个中二民哲在自说自话，写得太差。小魔仙要跟我讨论剧本，要我看这个…擦，四十几篇，把我看吐了。
天才在左 疯子在右	charlizheng	allstar10	2016-03-22	42	地摊文学，瞎编乱造出来的，建议不要读。
天才在左 疯子在右	jiaoxiaoyu	allstar50	2013-07-19	82	看这本书的时候，我要不断地提醒自己，这是一群疯子。
天才在左 疯子在右	mymx	allstar50	2012-06-27	34	激动，恐惧，感动……看这本书没有办法理性，尽管这是一本这么理性的书，颠覆的，更坚定的，三观的颠覆好似已经是小事，我思故我在，当我思已经超出了我思，他们就从天才变成了疯子，每个人都是精神病，你是，他是，我也是，所以，大家谁也别瞧不起谁！大家只是精神病的出发点不同而已。
天才在左 疯子在右	kidcby	allstar40	2012-07-17	40	甭管事件真假与否，能够刷新我认识和观念的书就是好书。保持独立的思考
天才在左 疯子在右	xryutu	allstar20	2010-06-14	12	编。
天才在左 疯子在右	viking7117	allstar30	2014-04-27	11	书里一些“精神病患者”看世界的角度很有意思，但这本书只适合当小说来看，名字太噱头了
天才在左 疯子在右	Azeril	allstar50	2012-01-22	15	大致读完 想说的话太多了 一时反倒不知从何说起。里面所访谈的人 不是为时为世所不容 而困居精神病院 就是陷入种种可以划定心理异常的家伙 由此导致的是本书的视角独特 带给自己很多新鲜的体验；而那些人的语言能力 那些奇异的事件 着实惊艳了我的眼球一把 至于说更深层的理论 从微小世界到洪荒宇宙 从时间的定义到灵魂的有无 则不由让我震撼 而后是疑惑 精神病人 疯子？不 并不是这么简单。他们拥有一个独立的世界 这反倒让我不由欣羡呢
天才在左 疯子在右	2949559	allstar40	2014-08-08	5	認真地說，誰能肯定自己是正常的。不知道案例是否真实。
